MSSV;Ho_ten;Ngay_sinh;Dia_chi;Gioi_tinh
16130287;Triệu Minh Hùng;19970815;Bàu Sơn-Láng lớn-BRVT;Nam
16130285;Nguyễn Văn Khánh Đức;19980121;Tân Thành-Quảng Thành-BRVT;Nam
16130293;Đỗ THị Yến Linh;19982211;Lâm San-Cẩm Mỹ-Đồng Nai;Nữ
16130301;Nguyễn Lê Bảo;19970912;Xuân Sơn-Ngãi Giao-BRVT;Nam
16130162;Lê THị Hồng;19980315;Cái Bè-Biên Hòa-Đông Nai;Nữ
16130335;Nguyễn Hoàng Thảo Vy;19980223;Bàu Chinh-Vĩnh Châu-An Giang;Nữ
13130155;Lê Văn Luyện;19960423;Sông Ray-Cái Rau-Tiền Giang;Nam
16130349;Nguyễn Hoàng Thành;19980619;Đông Hoa-Bí Sơn-An Giang;Nam
16130357;Nguyễn Trường Khiêm;19971209;Tân Phú -Q9-TPHCM;Nam
16130364;Mai An Tiêm;19980424;Bến Thành-Bến Thành-TPHCM;Nam
16130373;Lâm Quệ Ngọc;19991215; Phong Nẫm -Phan Thiết -Bình Thuận;Nữ
16130412;Đinh Ngọc Vĩnh An;19980101; Thiện Nghiệp- Phan Thiết- Bình Thuận;Nam
16130411;TRần Lê Hải Dương;19981020;Long Giao-Cù Bị-BRVT;Nam
15130419;Nguyễn Anh Duy;19940507;Nhơn Châu- Quy Nhơn- Bình Định;Nam
13130204;Nguyễn Thị Hoài Nhi;19971121;Hiệp Thành- Bạc Liêu- Bạc Liêu;Nữ
16130423;Hạ Lan Vy;19980302;Dĩnh Trì -Bắc Giang- Bắc Giang;Nữ
16130429;Nguyễn Tiểu Mai;19961209; Vĩnh Trạch -Bạc Liêu -Bạc Liêu;Nam
16130437;La Văn Bá;19970715;Kim Chân- Bắc Ninh- Bắc Ninh;Nam
16130452;Lương Bằng Quang;19981205; Bình Phú- Bến Tre -Bến Tre;Nam
16130453;Hạ Tố Nhi;19971203; Tân Thành -Đồng Xoài -Bình Phước;Nữ
16130460;Lê Âu Dương ;19991028; Chu Trinh- Cao Bằng -Cao Bằng;Nam
16130464;Hồ Quí Ly;19980631; An Xuyên- Cà Mau- Cà Mau;Nam
16130494;Lâm Văn Bá;19990629;An Phú -Pleiku -Gia Lai;Nam
16130498;Nguyễn Ngọc Thi;19990129;Đinh Xá- Phủ Lý -Hà Nam;Nữ
15130140;Lê Văn Trỗi;19980425; Dân Chủ- Hòa Bình- Hòa Bình;Nam
16130529;Lê Hồng;19970820; Thạch Đồng- Hà Tĩnh- Hà Tĩnh;Nam
16130531;Nguyễn Hoàng Sơn;19970528; Tiên Tân- Phủ Lý- Hà Nam;Nam
16130542;Lê Hiếu Hiền;19991109;Bảo Khê- Hưng Yên- Hưng Yên;Nam
16130545;Lê Ngọc Nữ;19960822; Trung Nghĩa- Hưng Yên- Hưng Yên;Nữ
16130546;Lành Văn Rớt;19971207; Hỏa Lựu -Vị Thanh- Hậu Giang;Nam
16130551;Tô THị Diễm Hương;19971124;Nhân Huệ- Chí Linh- Hải Dương;Nữ
16130553;Lưu Hoài Bảo;19991024;Vĩnh Trung- Nha Trang- Khánh Hòa;Nam
16130557;Hạ Vy;19961221;Đắk Blà- Kon Tum- Kon Tum;Nữ
16130560;Hạ Lưu;19980304;Nhơn Thạnh Trung- Tân An- Long An;Nam
16130568;Sở Khanh;19970405; Đại Lào- Bảo Lộc- Lâm Đồng;Nữ
16130605;Tạ Thúy Kiều;19951203;Nhơn Thạnh Trung- Tân An- Long An;Nam
16130573;Nguyễn Thị Mai;19970418;Bảo Khê- Hưng Yên- Hưng Yên;Nữ
16130600;Trần Thanh Lâm;19951129;Sông Ray-Cái Rau-Tiền Giang;Nam
16130606;Nguyễn THị Hạnh;19981009; Hoàng Đồng -Lạng Sơn -Lạng Sơn;Nữ
15130185;Tạ Thanh Tuấn;19940224;Mỹ Xá -Nam Định -Nam Định;Nam
16130615;Lê Dương Báo;19980824; Hưng Đông- Vinh- Nghệ An;Nam
16130614;Nguyễn Trọng Sinh;19980509;Thành Hải -Phan Rang Tháp Chàm -Ninh Thuận;Nam
16130689;Nguyễn Hạ Lan;19970424;Bảo Ninh -Đồng Hới -Quảng Bình;Nữ
16130302;Lê Âu Khiêm;19950427; Tam Thanh- Tam Kỳ -Quảng Nam;Nam
